customer_id,customer_name,email,Phone,Region
101,Amit Sharma,amit.sharma@example.com,9876543210,North
102,Priya Singh,priya.singh@example.com,9123456780,South
103,Raj Verma,raj.verma@example.com,9988776655,West
104,Sneha Reddy,sneha.reddy@example.com,9871234567,South
105,Manoj Das,manoj.das@example.com,9123987654,East
106,Neha Kulkarni,neha.kulkarni@example.com,7894561230,West
107,Karan Mehta,karan.mehta@example.com,7001239876,North
108,Divya Iyer,divya.iyer@example.com,8080808080,South
109,Arjun Sen,arjun.sen@example.com,9900990099,East
110,Meera Joshi,meera.joshi@example.com,8500450060,West
